,Pregunta,Intencion,Pregunta_new,Pregunta_corregida
14105,tengo que elegir la vivienda antes o despues de cargar la solicitud de un préstamo hipotecario?,Cat_206,tengo que elegir la vivienda antes o despues de cargar la solicitud de un préstamo hipotecario,tengo que elegir la vivienda antes o despues de cargar la solicitud de un préstamo hipotecario
14106,avisa usar tarjeta debitar no poder,Cat_289,avisa usar tarjeta debitar no poder,avisa usar tarjeta debitar no poder
14107,limite comprar pagar cuota,Cat_303,limite comprar pagar cuota,limite comprar pagar cuota
14108,disponible tarjeta,Cat_303,disponible tarjeta,disponible tarjeta
14109,quiero que la póliza llegue a mi domicilio,Cat_266,quiero que la póliza llegue a mi domicilio,quiero que la póliza llegue a mi domicilio
14110,como puedo ver los movimientos de la tarjeta recargable?,Cat_313,como puedo ver los movimientos de la tarjeta recargable,como puedo ver los movimientos de la tarjeta recargable
14111,el dia sabado hice una transferencia a mi mercado pago y a la fecha aun no se ha acreditado.,Cat_77,el dia sabado hice una transferencia a mi mercado pago y a la fecha aun no se ha acreditado,el dia sabado hice una transferencia a mi mercado pago y a la fecha aun no se ha acreditado
14112,tengo una extencion q necesito ampliar el limite y es urgente porque esta en el exterior,Cat_335,tengo una extencion q necesito ampliar el limite y es urgente porque esta en el exterior,tengo una extension q necesito ampliar el limite y es urgente porque esta en el exterior
14113,quiero sacar visa banco,Cat_337,quiero sacar visa banco,quiero sacar visa banco
14114,como hago para manda mi curriculum. para oportunidades de trabajo ?,Cat_102,como hago para manda mi curriculum para oportunidades de trabajo ,como hago para manda mi curriculum para oportunidades de trabajo
14115,los botones del formulario no sirven y no puedo hacer el pedido de la tarjeta.,Cat_4,los botones del formulario no sirven y no puedo hacer el pedido de la tarjeta,los botones del formulario no sirven y no puedo hacer el pedido de la tarjeta
14116,hay un simulacro de credito?,Cat_251,hay un simulacro de credito,hay un simulacro de credito
14117,constancia de datos de cuenta bancaria,Cat_42,constancia de datos de cuenta bancaria,constancia de datos de cuenta bancaria
14118,querer saber deber tarjeta,Cat_342,querer saber deber tarjeta,querer saber deber tarjeta
14119,no quiero que me renueven el plazo fijo  cómo tengo que hacer?,Cat_180,no quiero que me renueven el plazo fijo  cómo tengo que hacer,no quiero que me renueven el plazo fijo como tengo que hacer
14120,necesito el resumen de pago de la tarjeta american express,Cat_138,necesito el resumen de pago de la tarjeta american express,necesito el resumen de pago de la tarjeta america expresa
14121,mandar tarjeta credito,Cat_293,mandar tarjeta credito,mandar tarjeta credito
14122,pagar servicio mastercard,Cat_132,pagar servicio mastercard,pagar servicio mastercard
14123,como obtengo una caja de ahorro,Cat_39,como obtengo una caja de ahorro,como obtengo una caja de ahorro
14124,como cambiar la cuenta de la que se debita en el exterior,Cat_289,como cambiar la cuenta de la que se debita en el exterior,como cambiar la cuenta de la que se debita en el exterior
14125,para poder cerrar la cuenta debo esperar y hacer cola?,Cat_41,para poder cerrar la cuenta debo esperar y hacer cola,para poder cerrar la cuenta debo esperar y hacer cola
14126,quisiera saber como es para desvincular un servicio del débito automatico de mi cuenta,Cat_292,quisiera saber como es para desvincular un servicio del débito automatico de mi cuenta,quisiera saber como es para desvincular un servicio del debito automatico de mi cuenta
14127,quiero ver una operación de acciones que hice,Cat_167,quiero ver una operación de acciones que hice,quiero ver una operación de acciones que hice
14128,necesito el telefono de la sucursal de salto,Cat_91,necesito el telefono de la sucursal de salto,necesito el telefono de la sucursal de salto
14129,como poner la patente del auto en debito,Cat_132,como poner la patente del auto en debito,como poner la patente del auto en debito
14130,como hago si quiero simular un prestamo personal?,Cat_251,como hago si quiero simular un prestamo personal,como hago si quiero simular un prestamo personal
14131,quisiera saber. como es la inversion de super fondos y el interes,Cat_173,quisiera saber como es la inversion de super fondos y el interes,quisiera saber como es la inversion de super fondos y el interes
14132,como hago un desconocimiento de compra de la tarjeta de debito adicional?,Cat_112,como hago un desconocimiento de compra de la tarjeta de debito adicional,como hago un desconocimiento de compra de la tarjeta de debito adicional
14133,donde consigo el resumen de mis movimientos de cuenta?,Cat_138,donde consigo el resumen de mis movimientos de cuenta,donde consigo el resumen de mis movimientos de cuenta
14134,estoy viendo la posibilidad de depositar mi sueldo en tu banco,Cat_72,estoy viendo la posibilidad de depositar mi sueldo en tu banco,estoy viendo la posibilidad de depositar mi sueldo en tu banco
14135,extraer dolares,Cat_298,extraer dolares,extraer dolar
14136,puedo pedir un prestamo siendo extranjero,Cat_248,puedo pedir un prestamo siendo extranjero,puedo pedir un prestamo siendo extranjero
14137,bloquie el homebankin,Cat_1,bloquie el homebankin,bloque el homebanking
14138,quiero saber si con el súper préstamo la propiedad se hipoteca en uvas,Cat_225,quiero saber si con el súper préstamo la propiedad se hipoteca en uvas,quiero saber si con el super préstamo la propiedad se hipoteca en uvas
14139,queria consultar cómo hago para descargar resúmenes anteriores,Cat_138,queria consultar cómo hago para descargar resúmenes anteriores,quera consultar como hago para descargar resúmenes anteriores
14140,donde puede colocar los dolares de mi cuenta?,Cat_178,donde puede colocar los dolares de mi cuenta,donde puede colocar los dolar de mi cuenta
14141,tarjeta enviar reclamar,Cat_293,tarjeta enviar reclamar,tarjeta enviar reclamar
14142,consulta sobre apertura de cuenta y tarjeta de debito,Cat_39,consulta sobre apertura de cuenta y tarjeta de debito,consulta sobre apertura de cuenta y tarjeta de debito
14143,limite comprar tarjeta dolar,Cat_303,limite comprar tarjeta dolar,limite comprar tarjeta dolar
14144,cuanto paga el mix vi,Cat_174,cuanto paga el mix vi,cuanto paga el mi vi
14145,hice el tramite y no se en que estado esta,Cat_118,hice el tramite y no se en que estado esta,hice el tramite y no se en que estado esta
14146,que debo hacer ahora que encontré una propiedad para el préstamo hipotecario?,Cat_241,que debo hacer ahora que encontré una propiedad para el préstamo hipotecario,que debo hacer ahora que encontré una propiedad para el préstamo hipotecario
14147,numero consultar telefonica,Cat_147,numero consultar telefonica,numero consultar telefonica
14148,pagar tarjeta visa amex,Cat_342,pagar tarjeta visa amex,pagar tarjeta visa amex
14149,solo el titular de la tarjeta puede canjear puntos superclub,Cat_322,solo el titular de la tarjeta puede canjear puntos superclub,solo el titular de la tarjeta puede canjear puntos superclub
14150,donde se pueden ver los intereses de lebacs?,Cat_155,donde se pueden ver los intereses de lebacs,donde se pueden ver los intereses de lebacs
14151,vi un correo de santander diciendo ahora sos duo,Cat_139,vi un correo de santander diciendo ahora sos duo,vi un correo de santander diciendo ahora os duo
14152,aumentar descubierto,Cat_57,aumentar descubierto,aumentar descubierto
14153,que tenés que hacer cuando te cancelan la tarjeta de credito?,Cat_286,que tenés que hacer cuando te cancelan la tarjeta de credito,que tenis que hacer cuando te cancelan la tarjeta de credito
14154,limite tarjeta,Cat_303,limite tarjeta,limite tarjeta
14155,quiero saber el tiempo estimado para recibir mi chequera,Cat_45,quiero saber el tiempo estimado para recibir mi chequera,quiero saber el tiempo estimado para recibir mi chequera
14156,puedo pedir el ccredito hipotecario sin ser cliente del banco?,Cat_248,puedo pedir el ccredito hipotecario sin ser cliente del banco,puedo pedir el credito hipotecario sin ser cliente del banco
14157,las transferencias por home banking a cuentas de terceros de otros bancos tienen costo?,Cat_83,las transferencias por home banking a cuentas de terceros de otros bancos tienen costo,las transferencias por home bancking a cuentas de terceros de otros bancos tienen costo
14158,nunero banca telefonica,Cat_147,nunero banca telefonica,cunero banca telefonica
14159,programar transferencias,Cat_81,programar transferencias,programar transferencias
14160,cuanto dinero se puede poner a plazo fijo,Cat_183,cuanto dinero se puede poner a plazo fijo,cuanto dinero se puede poner a plazo fijo
14161,numero telefono terminar,Cat_147,numero telefono terminar,numero telefono terminar
14162,quiero saber por que mi tarjeta de credito no puedo usarla,Cat_286,quiero saber por que mi tarjeta de credito no puedo usarla,quiero saber por que mi tarjeta de credito no puedo usarla
14163,necesitaria renovar la tarjeta de debito ya que en algunos comercio no lo lee el posnet y parece que esta gastado,Cat_316,necesitaria renovar la tarjeta de debito ya que en algunos comercio no lo lee el posnet y parece que esta gastado,necesitara renovar la tarjeta de debito ya que en algunos comercio no lo lee el poseer y parece que esta gastado
14164,que promociones tienen las tarjetas santander ?,Cat_311,que promociones tienen las tarjetas santander ,que promociones tienen las tarjetas santander
14165,puedo dar de baja el debito automatico de cablevisión?,Cat_292,puedo dar de baja el debito automatico de cablevisión,puedo dar de baja el debito automatico de cablevisión
14166,puedo solicitar un prestamo prendario para segundo auto?,Cat_228,puedo solicitar un prestamo prendario para segundo auto,puedo solicitar un prestamo prendario para segundo auto
14167,tengo una cuenta en pesos puedo depositar dolares,Cat_110,tengo una cuenta en pesos puedo depositar dolares,tengo una cuenta en pesos puedo depositar dolar
14168,problema cajero sacar plata debito,Cat_297,problema cajero sacar plata debito,problema cajero sacar plata debito
14169,becas santander,Cat_358,becas santander,becas santander
14170,solicito dar de baja el cargo por sorpresa,Cat_320,solicito dar de baja el cargo por sorpresa,solicito dar de baja el cargo por sorpresa
14171,puedo sumar los ingresos de mis padres para sacar el prestamo hipotecario,Cat_254,puedo sumar los ingresos de mis padres para sacar el prestamo hipotecario,puedo sumar los ingresos de mis padres para sacar el prestamo hipotecario
14172,no poder comprar moneda extranjero tarjeta debitar,Cat_289,no poder comprar moneda extranjero tarjeta debitar,no poder comprar moneda extranjero tarjeta debitar
14173,que demora hay para que se acredite un cheque del exterior?,Cat_30,que demora hay para que se acredite un cheque del exterior,que demora hay para que se acredite un cheque del exterior
14174,se pueden sumar el sueldo del conyuge en la hipoteca,Cat_254,se pueden sumar el sueldo del conyuge en la hipoteca,se pueden sumar el sueldo del conyuge en la hipoteca
14175,estoy interesada en sacar la tarjeta infinity,Cat_337,estoy interesada en sacar la tarjeta infinity,estoy interesada en sacar la tarjeta infinita
14176,se puede retirar un monto elevado en cualquier sucursal de santander,Cat_128,se puede retirar un monto elevado en cualquier sucursal de santander,se puede retirar un monto elevado en cualquier sucursal de santander
14177,quiero pagar el monotributo no se como se hace,Cat_132,quiero pagar el monotributo no se como se hace,quiero pagar el monotributo no se como se hace
14178,ingreso el codigo y me dice que no esta la factura y vence hoy,Cat_129,ingreso el codigo y me dice que no esta la factura y vence hoy,ingreso el codigo y me dice que no esta la factura y vence hoy
